	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3
ENSSSAG00000042642	93.730241	64.748203	34.836123	17.2669029	1.63502911	1.36308
ENSSSAG00000042645	451.049	502.313	295.6684	1	2.42629	0
ENSSSAG00000042647	7.64572	8.45643	33.0135	85.2083	38.7868	53.6416
ENSSSAG00000042648	1	4.00163	4	2	0	0
ENSSSAG00000042649	0	0	3	0	0	0
ENSSSAG00000042650	888.001	2106.995	784	537.001	496.9998	399.9998
ENSSSAG00000042652	138.21005	559.62	153.9994	26.20783	30.1074	37.35106867
ENSSSAG00000042654	202.67195	750.8763	132.8263	26.3026	22.7019	12.30662
ENSSSAG00000042655	2	0	0	0	0	0
ENSSSAG00000042656	6027.92898	12645.50971	4448.9356	2146.7879	2060.14271	1704.7476
ENSSSAG00000042657	77.5996	244.286	93.3722	42.0201	52.1663	50.1899
ENSSSAG00000042658	327.9277764	835.417	224.6310697	100.9084	105.8312447	73.00000378
ENSSSAG00000042660	301.6706	390	197.9999	0	2	1
ENSSSAG00000042662	611.98847	1592.36036	815.3215	365.41754	368.0884	343.0332
ENSSSAG00000042663	870.383	2929.40496	846.114	197.3784	224.2611	235.8097
ENSSSAG00000042664	310.4749003	717.1137011	632.9681356	82.6695	142.833485	89.3382
ENSSSAG00000042666	64.8081	87.4504	137.36	47.0558	35.8052	49.7445
ENSSSAG00000042667	0	0	2	0	0	0
ENSSSAG00000042668	141.00028	73.00003	135.999848	29796.00172	60088.9954	57623.00004
ENSSSAG00000042669	127.053	349.501	120.0445	33.99997	45	46.3397
ENSSSAG00000042670	0	1	1	0	0	0
ENSSSAG00000042673	574.729	1541.104	585.305	44.50059	54.8247	57.09235
ENSSSAG00000042674	270.279	674.912	338.0001	198.1133	172.9996	179
ENSSSAG00000042675	13.6253	18.9488	16.9502	2	4	9
ENSSSAG00000042676	2433.3625	5687.3193	1477.19204	8.06868	19.1539858	23.069977
ENSSSAG00000042677	512.679	1646.73	557.501	154.225	191.727	179.434
ENSSSAG00000042678	311.3548	365.31296	625.17285	7.09494	13.41093	6.15436
ENSSSAG00000042679	33.00005	32	110	0	0	0
ENSSSAG00000042683	29.6915	60.3453	60.66564	9.40002	1.246224023	5.08609
ENSSSAG00000042685	151.00002	166.999972	505.4103107	4.00403	7	5
ENSSSAG00000042686	8.71065	21.6297	13.1523	63.8253	30.4356	26.3883
ENSSSAG00000042687	384.06062	1837.00463	152.6243	13.91203	13.1105	26.14008
ENSSSAG00000042688	237.1254	725.0886	313.4923	164.38604	163.1141	111.1727
ENSSSAG00000042691	1234.387	1680.261	1729.6133	446.85763	731.49608	381.101
ENSSSAG00000042692	1170.579663	1460.134301	625.939411	2.655501	2	1
ENSSSAG00000042694	1121.59542	2631.7478	4360.7556	373.9996841	566.61693	471.823254
ENSSSAG00000042695	85.53390022	130.8523	181.40496	49.12072	49.91782	54.4245
ENSSSAG00000042697	360.226	1288.929	264.6856	6.31671	7.00123	2.000000215
ENSSSAG00000042698	3	2	38.1363	0	2	0
ENSSSAG00000042700	33.308639	85.08172	248.2867	72.549502	106.53039	103.13001
ENSSSAG00000042701	32210.45492	47019.81365	21490.9983	32692.39072	37612.07405	35471.42525
ENSSSAG00000042702	117	291	132	56	66	80
ENSSSAG00000042704	3804.271	9578.2089	4093.6203	791.9999	1077.9994	930.1995
ENSSSAG00000042705	449.0005	1069.0972	337.5224	51.658	31.99998	27
ENSSSAG00000042706	2	16	2	0	0	0
ENSSSAG00000042708	2335.265546	4156.553998	3815.660884	29.99996236	19.00079	24.00001
ENSSSAG00000042710	158.591	218.9208	161.73727	8.46768	16.9073	19.66001803
ENSSSAG00000042712	2	22	0	0	0	0
ENSSSAG00000042713	908.619	3082.68	1261.13	516.115	591.024	484.821
ENSSSAG00000042714	963.91869	5073.6997	1291.82741	355.79592	576.8407569	305.0005
ENSSSAG00000042716	4.35335	1.05134	30.5111	1.05677	0	0
ENSSSAG00000042717	79.1327	235.62583	162.285	46.9342	53.4061	22.2805
ENSSSAG00000042719	3	21.00004	1	0	1	3
ENSSSAG00000042720	4.00784	11.0401	6.03352	7.0065	2.00086	7.00648
ENSSSAG00000042721	47	177	47	0	3	0
ENSSSAG00000042722	56.69229	212.02638	124.1576	35.94323	35.02339	28
ENSSSAG00000042724	17	62.2638	13	12.00005	3	3
ENSSSAG00000042725	1674.0274	3881.0972	1316.6352	241.9997	244.3611	233.0005
ENSSSAG00000042726	447.56123	1487.24602	598.1807265	308.698426	261.6375709	261.5684
ENSSSAG00000042730	551.404	1609.468	565.6821	47.2346	35.55976	37.35655
ENSSSAG00000042731	150.931	498.412	439.849	6.01794	5.03207	2
ENSSSAG00000042732	1	2	1	0	0	2
ENSSSAG00000042734	281.5884	2067.251492	730.1386	41.01607	31.0177	70.6337
ENSSSAG00000042735	79.8327	50.6942	78.4472	8.91048	11.3904	0
ENSSSAG00000042736	199.8494	402.234	606.556	156.9041	169.5185	177.1236
ENSSSAG00000042740	0	0	0	0	0	0
ENSSSAG00000042741	37	35.3844	27.467	0	4.19406	1
ENSSSAG00000042745	604.560001	2059.0672	673.4	294.28994	312.158	305.2535
ENSSSAG00000042747	32.99997002	36.00000002	22.00005008	0	2.000001199	0
ENSSSAG00000042751	1028.442	3542.71	1501.76	325.396	293.476	310.12
ENSSSAG00000042753	3	4	7	1	0	2
ENSSSAG00000042755	704.433	21520.8	1244.12	4.34369	4.17176	9.02794
ENSSSAG00000042756	142	141	138	0	1	1
ENSSSAG00000042759	271.41278	370.0538001	291.215578	62.2293	51.3418	58.1764
ENSSSAG00000042761	348.3844	756.1316883	426.4428	174.5061901	198.2813908	149.4923103
ENSSSAG00000042762	61.9471	86.5185	18.9488	459.961	473.079	488.757
ENSSSAG00000042764	214.1839045	291.9599	3600.237	792.9994318	965.0008001	1177.2321
ENSSSAG00000042765	141.831	350.746	151.581	64.6141	20.3677	33.8765
ENSSSAG00000042766	376.8	954.463	625.069	123.798	134.545	100.669
ENSSSAG00000042768	51.38628	106.3103	49.3462293	112.03463	176.77422	121.4927
ENSSSAG00000042769	0	0	1.39608	1	1	1
ENSSSAG00000042773	121	254.114	231.995	1015.94	1347.84	1472.95
ENSSSAG00000042775	3	74	57	6	8	0
ENSSSAG00000042777	0	0	0	0	0	0
ENSSSAG00000042779	338.0005	792	274.0001	493.0004	541.0004	506.0004
ENSSSAG00000042781	23	16	9	0	0	0
ENSSSAG00000042782	118.7777701	495.4293253	168.6068977	49.6165	56.96374046	53.02830951
ENSSSAG00000042784	43	82	82	0	3	3
ENSSSAG00000042785	212.4737	623.2728	326.4056	266.1437	286.61	264.2105
ENSSSAG00000042787	0	0	1	0	0	0
ENSSSAG00000042788	25.46286	112.0155	126.1401	9.85647	4.971	7
ENSSSAG00000042789	1288	6071.97211	553	41	50	61
ENSSSAG00000042791	1392.536	31393.07	2836.552	3.999997	7	17
ENSSSAG00000042793	81.7105	134.5354	89.566	420.512	420.204	282.854
ENSSSAG00000042795	26.00000643	38.00000407	48.00001777	14.00000352	18.00001524	18.00001264
ENSSSAG00000042798	551	1041.0002	570.0005	291.0001	269.0002	225.9999
ENSSSAG00000042799	0	0	0	0	0	0
ENSSSAG00000042800	12	24	16	18	22	19
ENSSSAG00000042802	774.884	2115.4771	1169.03915	861.876	975.54286	878.61864
ENSSSAG00000042803	0	0	0	1	2	0
ENSSSAG00000042804	160	479	269	53	60	69
ENSSSAG00000042805	28.5647	55.1758	103.4933	686.385	755.189	572.753
ENSSSAG00000042807	109.2669704	321.875683	147.7885551	68.02760519	129.1196512	89.17403694
ENSSSAG00000042811	391.472001	716.2586	831.2	1107.8056	1260.1672	1078.194
ENSSSAG00000042812	154.765	811.633	150.66	34.2764	71.92655	34.6915
ENSSSAG00000042813	1051.57846	2878.76397	1596.77504	328.42611	389.43739	350.99991
ENSSSAG00000042815	353.066	900.652	400.18	321.823	379.441	331.15
ENSSSAG00000042820	0	16	1	1	4	2
ENSSSAG00000042823	1.09502	3.23059	1	3.07779	4	0
ENSSSAG00000042825	589.3876681	1831.82643	925.5368876	537.8001365	496.0149514	557.8797157
ENSSSAG00000042826	7.19957	65.9242	14.2384	0	2	1
ENSSSAG00000042828	526	1485.99944	507.0004	104	87	60.00003
ENSSSAG00000042829	58	74.0812	56.1649	1	2.13863	1
ENSSSAG00000042830	33	50	57	31	33	40
ENSSSAG00000042831	4394	9256	8172	8207	9023.58	7625.23
ENSSSAG00000042832	8535.2827	43943.57562	6235.9848	1064.5565	983.3225833	790.3509666
ENSSSAG00000042833	25.9999528	35.00188	75	68.99998	35	44
ENSSSAG00000042834	22.1431	50.0381	28.8749	10.4553	13.03081	12.13671
ENSSSAG00000042836	43.6038	103.9033	35.3088	11.29779	20.12458	8.30187
ENSSSAG00000042837	20.43575022	32.651329	27.96700017	1.00635	1.20085	0
ENSSSAG00000042838	0	0	0	0	0	0
ENSSSAG00000042839	853.0312645	1513.027012	763.7749	1769.888	2539.295902	3212.963204
ENSSSAG00000042840	567.26892	1114.85353	323.776	25.1321	14.2126	4.10659
ENSSSAG00000042841	106.5006	297.58	337.833	156.0626	159.4045	198.0464
ENSSSAG00000042843	374.4127	1621.3497	291.41617	17.22267	15.43738	14.30108
ENSSSAG00000042845	13.2852	314.4904	14.06828	3.29598	6.01698	2.00688
ENSSSAG00000042846	561.0247	1210.47845	838.0139	234.0033	242.0031	232.013
ENSSSAG00000042848	0	0	0	0	0	0.847084
ENSSSAG00000042849	768	1334	412	2	2	1
ENSSSAG00000042850	1	0	2	0	1	1
ENSSSAG00000042852	163.779	568.294	233.024	114.991	139.657	111.76
ENSSSAG00000042854	10.0394	12.0437	88.39753	4.00235	7.74634	5.17818
ENSSSAG00000042856	512.59058	1805.768	585.741	232.2090711	263.2269	247.1869
ENSSSAG00000042857	21.56979	19.14432	411.75062	8.6281	10.11562	6.09776
ENSSSAG00000042858	315.7639	1267.94321	416.4321	35.01135	56.01167	31.0034
ENSSSAG00000042860	2	2.00055	2	0	0	0
ENSSSAG00000042862	286.1056	1124.9496	227.98491	15.03954	20.07265	24.57053
ENSSSAG00000042863	0	0	0	0	0	0
ENSSSAG00000042864	706.885	1910.028	1408.926	3732.055	5064.12	3811.919
ENSSSAG00000042866	813.034	1812.679	543.437	10.1176	8.11568	14.1346
ENSSSAG00000042869	73.4588	58.4076	82.1275	47.5711	58.0036	50.8329
ENSSSAG00000042871	36.682434	95.62454	92.4082	739.52938	855.68926	777.36976
ENSSSAG00000042873	1225.9952	8380.0017	1605.000056	214	291.9998	278.99979
ENSSSAG00000042875	325.0908	224	118.1484	2.01639	2	1.00988
ENSSSAG00000042876	0	0	0	0	0	0
ENSSSAG00000042877	109.1173	142.1028	106.7518	1	2	0
ENSSSAG00000042878	496.0574	2321.064	448.065	70.0231	105.0322	65.34644
ENSSSAG00000042879	294.3868	1059.432	356	170.882	179.0001	134.5587
ENSSSAG00000042880	429	925	427	211	248	255
ENSSSAG00000042882	0	1	0	0	0	0
ENSSSAG00000042884	374.185	2392.240767	459.5066	138.9079004	96.67079	100.282623
ENSSSAG00000042887	55	161	29	15	17	22
ENSSSAG00000042888	182.3846	548.538	259.4505	79.358	102.9873	82.9443
ENSSSAG00000042889	2611.0199	5506.5274	2420.4171	2056.4608	2088.604886	1779.5873
ENSSSAG00000042891	2	2.00134	4.00824	0	0	3
ENSSSAG00000042892	7.60693	46.4744	61.23021	11.0267	19.3474	26.5594
ENSSSAG00000042894	102.54127	346.8940636	276.1535	22.42894	20.99640336	13.1671
ENSSSAG00000042896	97	120.624	92	42	39	25.61463
ENSSSAG00000042897	1155.68026	3224.2658	521.800691	318.47061	349.64031	282.7486415
ENSSSAG00000042898	148.307257	261.033	167.007	20.99995	30.0305	17.00001
ENSSSAG00000042899	2.65019	0	0	0	1.4456	0
ENSSSAG00000042901	22.9886	24.2775	18.7538	0	0	0
ENSSSAG00000042902	65.7435	156.857	79.2761	2.06213	8.78833	0
ENSSSAG00000042905	174.4710006	300.95127	1038.668373	0	6	5
ENSSSAG00000042912	2135.616	5708.505	1437.067	7.13124	6.01047	6.2607
ENSSSAG00000042913	6.0134	5	5	2.009881	2	2.02846
ENSSSAG00000042915	177.0002	623	223.0003	67.00001	81	99
ENSSSAG00000042916	848.8855	2758.30086	1188.8977	527.1863971	575.7985081	519.79338
ENSSSAG00000042917	0	0	0	1	0	0
ENSSSAG00000042918	268.36762	802.75428	402.16377	1295.8943	805.32028	896.381233
ENSSSAG00000042920	2453.268899	5796.226401	2117.605423	437.4061557	515.424948	429.5271673
ENSSSAG00000042921	115.4446515	269.6042	175	177.396	146.352	159.127
ENSSSAG00000042924	271.96	667.129	498.126	398.231	399.369	345.103
ENSSSAG00000042927	22	61	55	19	22	12
ENSSSAG00000042928	434.6164	1546.4458	770.4131	349.5756	383.92256	328.4769
ENSSSAG00000042930	312.3624	786.4951	340.4863	70.30366	120.50877	92.8188
ENSSSAG00000042931	1059.2969	2519.352	1515.3346	4127.5558	4419.641306	4463.7368
ENSSSAG00000042932	1065.2838	1581.29984	637.9998	64.00041	53.40627002	35.00003
ENSSSAG00000042933	214	637	402	70	120	87.4885
ENSSSAG00000042935	294.986	599.997	145	1.00664	1.00681	4.05495
ENSSSAG00000042939	321.893	1081.593	394.8665	309.81	273.277	238.812
ENSSSAG00000042941	15.1474	14.197	15.8044	0	0	0
ENSSSAG00000042943	20.8863	44.1363	27.4385	1.94202	0	0
ENSSSAG00000042944	196.564	418.571	257.638	58	57	62.9732
ENSSSAG00000042945	238.37	1224.2	191.003	0	3.41085	2.21842
ENSSSAG00000042946	517.4664607	1536.8064	768.1025971	205.110683	267.0052007	190.00352
ENSSSAG00000042948	27.2177	85.1947	40.7027	16.8247	21.9069	5.46822
ENSSSAG00000042950	263.4220031	234.10116	134.4606	24.1304	23.0548	22.127
ENSSSAG00000042952	3497.8134	10419.23664	1759.8799	5.932714	9.21681	7.43539
ENSSSAG00000042955	144.7482	362.4373	238.9719	77.99997	111.99994	80
ENSSSAG00000042957	498.5183	1303.0506	723.40197	413.76821	445.5569	333.7161
ENSSSAG00000042963	12.0074551	178.9534004	38	10	6.29707	6
ENSSSAG00000042964	189.5929	404.546	185.1983	165.3486	235.90333	227.8988
ENSSSAG00000042966	106.341	340.118	181.993	70.582	80.089	73
ENSSSAG00000042971	231.8377	295.237	180.3723	63.3756	66.12085	39.120794
ENSSSAG00000042972	108.93053	270.7944414	148.834063	150.08723	102.4699	91.8721
ENSSSAG00000042974	232.6112131	219.0914	260.3256	11.00000001	8	16.00087
ENSSSAG00000042975	6.00844	7.0261	9	6	9	1
ENSSSAG00000042976	189.695787	1300.04002	277.0626478	76.79320153	89.5322	66.31621491
ENSSSAG00000042977	35.9376	127.951	57.1703	20.0983	29.695	31.8345
ENSSSAG00000042980	440	978.887	445	88	94	111
ENSSSAG00000042981	11.1174	10.1656	36.27183	553.404	890.62178	662.99967
ENSSSAG00000042982	67.8692	121.755	54.5124	9.52061	36.5444	17.2658
ENSSSAG00000042984	632.13831	1475.9301	526.4667	150.11115	184.02023	120.824
ENSSSAG00000042986	618.673	2449.7699	580.1993714	80.06327	71.15626	68.351404
ENSSSAG00000042987	3	7	88	1	0	0
ENSSSAG00000042988	31.3738	31.4761	17.5214	6.59036	0.112215	3.11735
ENSSSAG00000042992	306	713.507	453.726	129.6324	105	92
ENSSSAG00000042993	504.211411	1154.9591	554.7755	196.09965	211.18097	182.609
ENSSSAG00000042994	630.528	996.87047	559.675	263.517	318.53347	240.231
ENSSSAG00000042995	1537.706704	3905.694907	1444.81321	75.350236	101.8519	112.0210313
ENSSSAG00000043000	1177.00423	2608.02485	1147.9984	14	18	17.99996
ENSSSAG00000043003	62.04847	216.551	138.9382	20.15748	27.70619	52.1918
ENSSSAG00000043004	13	15	9	0	3	2
ENSSSAG00000043005	812.2515	1156.5575	483.644	79	62	57.6582
ENSSSAG00000043007	107	442.0001	290.00037	308.99977	369.9999	363.00038
ENSSSAG00000043009	13.9809	56.3213	21.2681	11	6.58695	3.13894
ENSSSAG00000043013	19	107	10	0	1	0
ENSSSAG00000043015	24.1739	78.48	37.4924	11.2515	13.3121	11.2528
ENSSSAG00000043016	555.7	1525.38	679.54	214.16	201.888	240.418
ENSSSAG00000043017	458.0519	1060.6092	794.75478	458.4589	376.9517	343.59452
ENSSSAG00000043019	8.00108	16.29841	12.9991	1.0004	0	0
ENSSSAG00000043023	44.01309613	60.00460266	76.00131	53.00507	63.0047	46.00002
ENSSSAG00000043025	267.2299	529.071	637.53	145.33862	85.86538	53.7687
ENSSSAG00000043026	407.68332	943.3986	454.4059099	24.02587	16.02869	22.18135
ENSSSAG00000043031	518.51391	952.18979	314.0838262	114.067	123.24249	114.8167105
ENSSSAG00000043032	421.23548	720.8775	301.61887	88.00076	60.21124	71.17392
ENSSSAG00000043035	199.000063	668.0242	148.0129302	54	25.0000001	40.00001238
ENSSSAG00000043036	120.2718097	334.254373	195.5410939	234.6906879	107.0724197	96.05557532
ENSSSAG00000043037	0	0	0	0	0	0
ENSSSAG00000043038	420.171	804.375	313.6	240.337	158.438	158.742
ENSSSAG00000043040	105.769	239.672	82.7833	21.0514	16.9909	12.4512
ENSSSAG00000043041	0	4.45193	0	0	0	0
ENSSSAG00000043042	18.00001	22.000014	21.999958	21	10.0000039	15
ENSSSAG00000043043	4697.03908	12000.9005	8772.00416	9993.5099	12529.5339	10437.02046
ENSSSAG00000043044	148.57627	164.4309	249.6955	28.01675	38.88708	39.1449
ENSSSAG00000043047	842.81	2729.183	708.97491	66.8997	86.6309	68.3144
ENSSSAG00000043048	280.3079744	934.1064005	374.0517001	172.1593	206.2312116	165.0021
ENSSSAG00000043049	399.382	1307.47	434.212	237.387	298.194	306.723
ENSSSAG00000043051	186.231	459.328	192.217	43.9486	57.0091	40.5488
ENSSSAG00000043052	0	0.804072	2.91508	0	0	0
ENSSSAG00000043053	506.833235	1867.058372	496.0923251	495.49864	348.999918	349.4516083
ENSSSAG00000043054	225.0004	1016.09	183.10701	285.00039	240.0003	195.0002
ENSSSAG00000043056	104.703	445.971	103.024	120.306	182.598	128.519
ENSSSAG00000043057	0	0	0	0	0	0
ENSSSAG00000043060	0	0	0	0	0	0
ENSSSAG00000043061	0	0	0	0	0	0
ENSSSAG00000043062	80.766	207.575	119.034	252.312	266.984	313.541
ENSSSAG00000043063	97.2043	261.3245	162.1022	41.00005	61.3692	44
ENSSSAG00000043064	631.5803	1612.2263	591.8628	533.1839	730.9542	552.72
ENSSSAG00000043065	40	52	213	10.99996664	13	8
ENSSSAG00000043067	172.9995	458.98913	319.97522	184	175.9996	180.000024
ENSSSAG00000043068	3989.0005	8201.004	2798.9966	264.9997632	307.9995	261.34339
ENSSSAG00000043069	1235.5317	2819.62174	964.8438	657.9773	599.5089	511.4041
ENSSSAG00000043070	25.75252	20.04806	33.64791	22.25391	24.3457	22.67379
ENSSSAG00000043072	35.9124	13.1283	31.5176	48.9098	3.42077	16.3493
ENSSSAG00000043073	464.19	1887.872	709.025	207.3637	399.3691002	257.686
ENSSSAG00000043074	452.443	1443.54	456.308	143.06	125.146	138.298
ENSSSAG00000043076	7.44587	1.17997	5.28646	2975.003	3239.752	3279.9019
ENSSSAG00000043080	3	26	4	0	0	0
ENSSSAG00000043082	720.363	2214.20629	782.394	391.72194	467.32374	426
ENSSSAG00000043083	84.94442	137.333	66.358	26.5913	43.8324	43.394
ENSSSAG00000043089	485.5916	1208.8227	609.6847	189.5711	180.66414	141.62432
ENSSSAG00000043091	446.243815	663.8918626	384.5975	112.1347654	104.8641991	114.1509876
ENSSSAG00000043093	26.6238	50.4007	34.4574	32.5891	17.1766	22.6758
ENSSSAG00000043094	1345.6781	4658.431	921.5908	6.13711	4.280430029	5.388410028
ENSSSAG00000043096	13.248	20.4368	28.83974	35.6071	59.0043	38.6242
ENSSSAG00000043099	370.0672191	824.94772	1778.0153	162.8549801	58.1179	75.7558
ENSSSAG00000043101	0	0	4	1.00017	0	2
ENSSSAG00000043104	99.0732	336.826	210.653	517.069	686.427	473.12
ENSSSAG00000043105	14	15	18	3.02739	2.000134	2.000075
ENSSSAG00000043108	220.761	562.963	311.061	10.6367	17.3558	16.0248
ENSSSAG00000043109	2.00409	5.38605	13.9451	1.01582	1.0588	10.0027
ENSSSAG00000043111	110.041	1605.55	101.669	6.55045	8.46127	3.48671
ENSSSAG00000043112	0	0	1.05448	0	0	0
ENSSSAG00000043113	266.73304	732.37729	296.44032	199.596	232.51186	235.9998
ENSSSAG00000043115	561.524	2650.14	490.401	5.9628	12.1804	8.03065
ENSSSAG00000043118	2	4	3	24.99996	30.0000006	35.00003
ENSSSAG00000043119	3573.57	7117.55	2035.29	5	4	1.9999996
ENSSSAG00000043120	319.524	698.787	331.84	167.956	168.516	184.1878718
ENSSSAG00000043122	364.04	813	309	109	139	125
ENSSSAG00000043126	38.23849756	113.11252	141.8923384	272.98358	288.5367	221.5372
ENSSSAG00000043128	127.99998	674.4153	95	4	6	7
ENSSSAG00000043131	24.74665	179.06641	52	0	0	0
ENSSSAG00000043132	0	1	0	0	0	0
ENSSSAG00000043135	109	395	791.89686	236	212.50624	142.20588
ENSSSAG00000043141	0	0	0	0	0	0.0232175
ENSSSAG00000043145	504.58	1300.679	752.2297	56.35289	40.83424	35.91517
ENSSSAG00000043147	0	0	0	0	0	0
ENSSSAG00000043149	49.28479	82.9375	189.893736	59.50121847	26.03468862	38.37092
ENSSSAG00000043152	171	250	114	1	0	3
ENSSSAG00000043153	374.1535801	1840.3472	149	1	3	1
ENSSSAG00000043154	307.61758	767.66098	96.89971	2.999998831	3.000003056	0
ENSSSAG00000043157	15.00909	7.08957	3.00148	1	0	1.00011
ENSSSAG00000043158	1	0	4	0	0	0
ENSSSAG00000043159	798.5931623	1758.9042	807.9999406	256.4742	232.0069	241.9041811
ENSSSAG00000043162	1027.99945	1234	632	1572.9969	1501	897.99984
ENSSSAG00000043163	1373.0345	2370.8149	1248.9998	808.4889	1011.5316	834.0001002
ENSSSAG00000043164	0	2.57369	0	0	0	0
ENSSSAG00000043165	127.52405	240.77718	66.759	19	42.22410001	10.6238
ENSSSAG00000043166	2.24527	0	12.1229	0	0	0
ENSSSAG00000043168	117	292.3864	156.3231	39.99999	55.19304	53
ENSSSAG00000043175	323.00015	1249.9998	433.0002	238.9998	352.0001	326.9999
ENSSSAG00000043180	175.8132	131.5857	93.7007	4.96836	7.22192	6.54485
ENSSSAG00000043181	115	229	91	0	1	3
ENSSSAG00000043186	122.2873	245.5675	51.9247	508.9394	461.2848	583.957
ENSSSAG00000043192	112.801	115.26	140.004	49.2316	35.8286	37.7873
ENSSSAG00000043194	40.3831	498.8585	60.1912	193.73485	422.15888	448.8457
ENSSSAG00000043201	0	0	3	1	0	0
ENSSSAG00000043206	357.4734	800.726	328.9983877	277.01424	216.799993	223.20385
ENSSSAG00000043207	221	711	360	2	5	3
ENSSSAG00000043209	354.96675	549.6368	749.71123	182.934	224.70511	143.139
ENSSSAG00000043212	63.3169	105.485	145.978	92.032	88.0993	94.2211
ENSSSAG00000043215	568.4273	1242.998447	685.510266	400.2539	519.2115	397.2239524
ENSSSAG00000043220	6.64574	38.1693	24.1913	0	6.92549	3.781
ENSSSAG00000043221	311.0001	1044.19513	318.00039	60.00002	91.99996	71.04661
ENSSSAG00000043225	283.375	736.773	471.645	155.91264	151.18607	180.9615
ENSSSAG00000043236	25.6443	159.1455564	627.1977	72.0469	102.0677007	57.04582
ENSSSAG00000043243	169.5649	474.1392	140.57253	174	146	171.57456
ENSSSAG00000043244	76.85754	52.76196	104.291	81.58092	7.05126	21.50933
ENSSSAG00000043245	1161.21	3354.17	1243.04	453.34	411.32	435.417
ENSSSAG00000043247	223.6743	662.6586	312.42651	102	89.076	102.79445
ENSSSAG00000043249	74.00003	249.20064	104.11314	39.99997	53.45925	50.34272
ENSSSAG00000043252	425	1339	258	7	4	1
ENSSSAG00000043253	3.02104	4.05148	5.13824	4.0864	4.08057	11.36609
ENSSSAG00000043255	168.01	293.275	615.02	227.015	276.016	204.621
ENSSSAG00000043259	264.2064002	731.0408	344.0238024	193.99967	229.6185	203.9995002
ENSSSAG00000043262	0	2	19	90	61	27
ENSSSAG00000043265	101.8815	40.00002	113.591	101	11.0953	30.00004
ENSSSAG00000043272	60	75	271	5	7	12
ENSSSAG00000043274	57.1516	89.3747	333.4857	1	2.9508057	2.00238102
ENSSSAG00000043280	240.185	660.187	194	1.17651	5	3
ENSSSAG00000043281	3756.8718	6680.83	3214.2157	397.2009	442.4027	542.282
ENSSSAG00000043285	166.37906	505.3439	133.3716	28.0869	12	12.7059
ENSSSAG00000043287	97	248	136	151	141	170
ENSSSAG00000043289	107.88945	304.877208	115.2227205	2.1641	7.081662	6.04658
ENSSSAG00000043290	238.426	713.539	353.23	114.408	164.281	121.053
ENSSSAG00000043293	42	96	110	9	10	12
ENSSSAG00000043294	155.0004	635.000094	232.00032	198.9999	194.0002458	151.9999
ENSSSAG00000043299	119	274	120	87	66	56
ENSSSAG00000043307	1567	3977	1963	0	2	2
ENSSSAG00000043310	137.54	257.848	84.1744	4.80904	4.83244	1.12854
ENSSSAG00000043313	283.6944	1444.414	355.17382	165.9996	165.5440602	177.54461
ENSSSAG00000043317	5.31554	19.6926	91.0256	15.2051	22.2023	13.04244
ENSSSAG00000043323	860.4302	2155.87	844.929	404.4904	408.9793	464.282
ENSSSAG00000043325	26	97	38	10.9999978	21	11.00002
ENSSSAG00000043328	0	0	0	0	0	0
ENSSSAG00000043329	4258.36554	14008.92201	3063.93367	148.11718	134.49336	128.16762
ENSSSAG00000043335	52.32117	203.5042	66.6547	7.445	9.5291	4.22389
ENSSSAG00000043336	3511	8282	3952	180	216	165
ENSSSAG00000043337	47.10921	118.21694	91.2258	7.013357465	12.54224961	4.002375425
ENSSSAG00000043339	81	76	121	23	23	33
ENSSSAG00000043341	325.365	1110.545	459.7939	139.9161	131.0766011	104.3331
ENSSSAG00000043342	99.0067	349.8808	139	225.0523	274.0003	310.1272
ENSSSAG00000043348	42.5519	86.3586	81.7897	6.90114	6.50971	2.1234
ENSSSAG00000043349	198.66567	280.94407	683.58834	122.52194	124.032385	114.15031
ENSSSAG00000043356	24	102	41	4	9	9
ENSSSAG00000043357	159.00006	283	222	78	79	69
ENSSSAG00000043363	66.1666	21.3346	16.879	0	0	0
ENSSSAG00000043365	411.872	999.0962	411.2482441	192.373	199.275	175.9527271
ENSSSAG00000043366	0	0	0	1.10782	0	0
ENSSSAG00000043369	792.002	1709.33	747.4021	125.37368	115.1394	113.7109
ENSSSAG00000043370	737.82765	2113.924	822.6712	197.4306166	288.4409	222.75499
ENSSSAG00000043371	606.081687	2776.3963	745.8158	329.7701002	412.1307076	474.7629546
ENSSSAG00000043372	1125.311	2551.478	1080.203	186.07947	174.6464	179.011
ENSSSAG00000043373	604.748	304.059	212.7399	516.829	770.817	621.746
ENSSSAG00000043375	0	0	3	5	0	2
ENSSSAG00000043377	502.667	1318.729	561.948	199.1816	214.2377	184.8265
ENSSSAG00000043378	1	0	65	0	0	0
ENSSSAG00000043382	616.92843	1695.98276	811.4189568	154.9148	191.14653	183.60529
ENSSSAG00000043385	2515.07526	6266.2089	2221.07066	581.000734	668.3501032	625.31997
ENSSSAG00000043392	914.087	2939.652	1224.325	1126.294	1243.0003	1184.193
ENSSSAG00000043397	549.053094	1504.242152	667.2535093	473.4644272	543.62523	422.96484
ENSSSAG00000043398	0	0	1	1	0	2
ENSSSAG00000043401	0	0	2	0	2	0
ENSSSAG00000043402	266.0096	992.10535	344.00608	95.00004	123.0768536	141.20973
ENSSSAG00000043405	154.7371	191.8672	1105.36342	594.11945	607.073	519.8846
ENSSSAG00000043408	285.8158	12355.88007	260.1571029	50.09180012	50.90945069	61.822778
