128up	637
14-3-3epsilon	11611
14-3-3zeta	5487
140up	60
18SrRNA-Psi:CR41602	57016
18SrRNA-Psi:CR45861	36320
18w	94
26-29-p	7864
28SrRNA-Psi:CR40596	33382
28SrRNA-Psi:CR40741	38
28SrRNA-Psi:CR41609	228
28SrRNA-Psi:CR45848	11
28SrRNA-Psi:CR45851	74329
28SrRNA-Psi:CR45853	1
28SrRNA-Psi:CR45855	1452
28SrRNA-Psi:CR45859	38778
28SrRNA-Psi:CR45860	0
28SrRNA-Psi:CR45862	17393
2SrRNA-Psi:CR40677	0
2SrRNA-Psi:CR45850	0
2SrRNA-Psi:CR45858	0
2mit	26
312	186
4E-T	665
5-HT1A	1
5-HT1B	0
5-HT2A	6
5-HT2B	0
5-HT7	4
5.8SrRNA-Psi:CR45849	1
5.8SrRNA-Psi:CR45854	1540
5.8SrRNA-Psi:CR45857	0
5.8SrRNA-Psi:CR45863	949
5PtaseI	110
5SrRNA-Psi:CR33356	0
5SrRNA-Psi:CR33363	5
5SrRNA-Psi:CR33371	0
5SrRNA-Psi:CR33416	0
7B2	5
825-Oak	0
A16	483
AANAT1	15
AANATL2	0
AANATL3	5
AANATL4	0
AANATL5	0
AANATL6	0
AANATL7	8
ABCA	607
ABCB7	1209
ABCD	599
ACC	5377
ACXA	0
ACXB	0
ACXC	4
ACXD	3
ACXE	3
ADD1	734
ADPS	2
AGBE	1598
AGO1	3770
AGO2	8542
AGO3	92
AIF	661
AIMP1	456
AIMP2	634
AIMP3	405
ALiX	3072
AMPKalpha	633
AMPdeam	1754
AOX1	2856
AOX2	107
AOX3	1452
AOX4	6
AP-1-2beta	2943
AP-1gamma	1925
AP-1mu	1144
AP-1sigma	413
AP-2alpha	1374
AP-2mu	1014
AP-2sigma	145
APC10	67
APC4	243
APC7	26
APP-BP1	384
AQP	2
ARY	0
ASPP	6
ATP6AP2	3438
ATP7	1638
ATP8A	260
ATP8B	8538
ATPCL	3762
ATPsynB	1906
ATPsynC	8191
ATPsynCF6	1646
ATPsynCF6L	0
ATPsynD	1703
ATPsynE	879
ATPsynF	1160
ATPsynG	1105
ATPsynGL	0
ATPsynO	1911
ATPsynbeta	5230
ATPsynbetaL	276
ATPsyndelta	1385
ATPsynepsilonL	39
ATPsyngamma	6678
ATbp	102
Aasdh	270
Aatf	393
Abd-B	2
Abi	1384
Abl	37165
Abp1	1115
Ac13E	79
Ac3	342
Ac76E	94
Ac78C	1388
AcCoAS	1246
Acam	1
Acbp1	157
Acbp2	2
Acbp3	0
Acbp4	0
Acbp5	0
Acbp6	1
Ace	4
Acer	247
Acf	1318
Achl	7
Ack	1100
Ack-like	1563
Acn	1287
Acox57D-d	59
Acox57D-p	454
Acp1	0
Acp24A4	0
Acp26Aa	0
Acp26Ab	0
Acp29AB	1
Acp32CD	3
Acp33A	0
Acp36DE	2
Acp53C14a	0
Acp53C14b	0
Acp53C14c	0
Acp53Ea	0
Acp54A1	2
Acp62F	0
Acp63F	0
Acp65Aa	0
Acp76A	0
Acp95EF	0
Acp98AB	0
Acph-1	714
Acsl	3032
Act42A	32780
Act57B	16
Act5C	80051
Act79B	16
Act87E	19
Act88F	8
Actbeta	2
Actn	1203
Actn3	0
Acyp	1
Acyp2	96
AdSL	395
AdSS	5367
Ada	116
Ada1-1	26
Ada1-2	196
Ada2a	191
Ada2b	522
Ada3	537
AdamTS-A	451
AdamTS-B	117
Adar	570
Adat1	33
Adck	258
AdenoK	470
Adf1	508
Adgf-A	5697
Adgf-A2	23
Adgf-B	1
Adgf-C	0
Adgf-D	6
Adgf-E	0
Adh	2
Adhr	1
Adi1	362
AdipoR	1181
Adk1	98
Adk2	1489
Adk3	48
AdoR	12
Aduk	151
Ady43A	190
Aef1	594
Afti	370
Ag5r	3
Ag5r2	1
AgmNAT	45
Agpat1	167
Agpat2	48
Agpat3	2036
Agpat4	68
Ahcy	2955
AhcyL1	1645
AhcyL2	1
Ak6	20
Akap200	12366
Akh	4
AkhR	3
Akt1	1372
AlaRS	5179
AlaRS-m	354
Aladin	364
Alas	602
Ald1	7483
Ald2	0
Aldh	3943
Aldh-III	1647
Aldh7A1	335
Alg-2	244
Alg1	1714
Alg10	318
Alg11	768
Alg14	73
Alg2	764
Alg3	476
Alg9	425
Alh	969
Alk	16
AlkB	44
Alp1	1
Alp10	2
Alp11	25
Alp12	1876
Alp13	0
Alp2	0
Alp4	148
Alp5	2
Alp6	16
Alp7	0
Alp8	0
Alp9	1
Alr	435
Als2	545
Ama	550
Amacr	196
Amnionless	3
Amph	466
Amt	57
Amun	1746
Amy-d	15
Amy-p	187
Amyrel	1
Ance	717
Ance-2	9
Ance-3	0
Ance-4	37
Ance-5	45
Andorra	0
Ank	2591
Ank2	15
Ankle2	1704
Anp	6
Ant2	2629
Antp	0
AnxB10	2154
AnxB11	983
AnxB9	4817
Aos1	792
Apc	3977
Apc2	382
ApepP	830
