128up	395
14-3-3epsilon	7446
14-3-3zeta	4414
140up	68
18SrRNA-Psi:CR41602	75984
18SrRNA-Psi:CR45861	47905
18w	61
26-29-p	6462
28SrRNA-Psi:CR40596	48325
28SrRNA-Psi:CR40741	46
28SrRNA-Psi:CR41609	59
28SrRNA-Psi:CR45848	29
28SrRNA-Psi:CR45851	92960
28SrRNA-Psi:CR45853	0
28SrRNA-Psi:CR45855	2740
28SrRNA-Psi:CR45859	56030
28SrRNA-Psi:CR45860	3
28SrRNA-Psi:CR45862	27662
2SrRNA-Psi:CR40677	0
2SrRNA-Psi:CR45850	0
2SrRNA-Psi:CR45858	0
2mit	45
312	92
4E-T	693
5-HT1A	0
5-HT1B	0
5-HT2A	1
5-HT2B	0
5-HT7	0
5.8SrRNA-Psi:CR45849	1
5.8SrRNA-Psi:CR45854	1424
5.8SrRNA-Psi:CR45857	0
5.8SrRNA-Psi:CR45863	307
5PtaseI	114
5SrRNA-Psi:CR33356	0
5SrRNA-Psi:CR33363	17
5SrRNA-Psi:CR33371	0
5SrRNA-Psi:CR33416	1
7B2	2
825-Oak	0
A16	375
AANAT1	10
AANATL2	0
AANATL3	3
AANATL4	0
AANATL5	0
AANATL6	0
AANATL7	7
ABCA	728
ABCB7	1023
ABCD	808
ACC	5264
ACXA	1
ACXB	1
ACXC	0
ACXD	3
ACXE	3
ADD1	684
ADPS	1
AGBE	870
AGO1	4185
AGO2	8561
AGO3	105
AIF	527
AIMP1	326
AIMP2	358
AIMP3	208
ALiX	2538
AMPKalpha	631
AMPdeam	1380
AOX1	1821
AOX2	71
AOX3	1566
AOX4	4
AP-1-2beta	2459
AP-1gamma	1668
AP-1mu	804
AP-1sigma	431
AP-2alpha	1154
AP-2mu	769
AP-2sigma	90
APC10	45
APC4	177
APC7	8
APP-BP1	208
AQP	1
ARY	0
ASPP	5
ATP6AP2	2262
ATP7	941
ATP8A	216
ATP8B	8222
ATPCL	3419
ATPsynB	1226
ATPsynC	5546
