128up	985
14-3-3epsilon	26915
14-3-3zeta	14610
140up	274
18SrRNA-Psi:CR41602	172296
18SrRNA-Psi:CR45861	127650
18w	109
26-29-p	12066
28SrRNA-Psi:CR40596	87610
28SrRNA-Psi:CR40741	394
28SrRNA-Psi:CR41609	316
28SrRNA-Psi:CR45848	84
28SrRNA-Psi:CR45851	195411
28SrRNA-Psi:CR45853	0
28SrRNA-Psi:CR45855	22894
28SrRNA-Psi:CR45859	162420
28SrRNA-Psi:CR45860	9
28SrRNA-Psi:CR45862	53069
2SrRNA-Psi:CR40677	0
2SrRNA-Psi:CR45850	0
2SrRNA-Psi:CR45858	0
2mit	101
312	273
4E-T	2556
5-HT1A	0
5-HT1B	3
5-HT2A	3
5-HT2B	1
5-HT7	8
5.8SrRNA-Psi:CR45849	0
5.8SrRNA-Psi:CR45854	0
5.8SrRNA-Psi:CR45857	0
5.8SrRNA-Psi:CR45863	0
5PtaseI	326
5SrRNA-Psi:CR33356	0
5SrRNA-Psi:CR33363	0
5SrRNA-Psi:CR33371	0
5SrRNA-Psi:CR33416	0
7B2	0
825-Oak	0
A16	875
AANAT1	26
AANATL2	1
AANATL3	9
AANATL4	0
AANATL5	0
AANATL6	0
AANATL7	16
ABCA	1843
ABCB7	1905
ABCD	1942
ACC	10713
ACXA	2
ACXB	2
ACXC	1
ACXD	4
ACXE	14
ADD1	1944
ADPS	0
AGBE	1626
AGO1	11299
AGO2	19324
AGO3	346
AIF	1376
AIMP1	627
AIMP2	936
AIMP3	410
ALiX	5320
AMPKalpha	1240
AMPdeam	3273
AOX1	3850
AOX2	137
AOX3	3579
AOX4	12
AP-1-2beta	4632
AP-1gamma	3268
AP-1mu	2152
AP-1sigma	1088
AP-2alpha	3276
AP-2mu	1757
AP-2sigma	221
APC10	133
APC4	389
APC7	31
APP-BP1	556
AQP	0
ARY	0
ASPP	12
ATP6AP2	4685
ATP7	1738
ATP8A	483
ATP8B	18913
ATPCL	7102
ATPsynB	2061
ATPsynC	15576
ATPsynCF6	2894
ATPsynCF6L	0
ATPsynD	3228
ATPsynE	1637
ATPsynF	2323
ATPsynG	1602
ATPsynGL	0
ATPsynO	2557
ATPsynbeta	8468
ATPsynbetaL	484
ATPsyndelta	2023
ATPsynepsilonL	34
ATPsyngamma	10234
ATbp	216
Aasdh	477
Aatf	853
Abd-B	2
Abi	2840
Abl	241028
Abp1	2129
Ac13E	217
Ac3	716
Ac76E	189
Ac78C	3347
AcCoAS	2589
Acam	1
Acbp1	324
Acbp2	11
Acbp3	0
Acbp4	0
Acbp5	2
Acbp6	1
Ace	7
Acer	482
Acf	3791
Achl	22
Ack	1813
Ack-like	3512
Acn	2946
Acox57D-d	93
Acox57D-p	808
Acp1	0
Acp24A4	0
Acp26Aa	0
Acp26Ab	0
Acp29AB	0
Acp32CD	3
Acp33A	0
Acp36DE	1
Acp53C14a	0
Acp53C14b	0
Acp53C14c	0
Acp53Ea	1
Acp54A1	0
Acp62F	1
Acp63F	0
Acp65Aa	0
Acp76A	1
Acp95EF	0
Acp98AB	0
Acph-1	1436
Acsl	6869
Act42A	35276
Act57B	57
Act5C	109810
Act79B	26
Act87E	41
Act88F	17
Actbeta	9
Actn	2153
Actn3	0
Acyp	0
Acyp2	182
AdSL	521
AdSS	5926
Ada	187
Ada1-1	93
Ada1-2	278
Ada2a	317
Ada2b	1103
Ada3	723
AdamTS-A	401
AdamTS-B	227
Adar	1612
Adat1	61
Adck	482
AdenoK	1241
Adf1	946
Adgf-A	7463
Adgf-A2	63
Adgf-B	3
Adgf-C	3
Adgf-D	6
Adgf-E	0
Adh	6
Adhr	4
Adi1	987
AdipoR	1874
Adk1	162
Adk2	2816
Adk3	246
AdoR	9
Aduk	286
Ady43A	282
Aef1	1506
Afti	927
Ag5r	7
Ag5r2	1
AgmNAT	66
Agpat1	546
